label,tempo,time_signature,key,loudness
roots reggae,151.744,4,0,-5.142
soul jazz,81.492,4,5,-6.115
power pop,131.966,4,7,-10.133
viking metal,110.897,7,0,-7.078
space age pop,85.131,4,9,-16.45
lovers rock,85.56,4,11,-15.121
oi,123.26,4,10,-11.031
death core,119.827,4,5,-3.6
ccm,146.677,4,0,-13.484
musette,0.0,1,5,-26.393
singer-songwriter,163.519,7,7,-11.378
europop,65.195,4,9,-15.953
cabaret,105.994,4,7,-8.086
chanson,87.013,7,1,-10.166
rock steady,157.446,4,10,-8.884
ccm,120.548,4,4,-6.917
british invasion,193.578,1,7,-11.514
bolero,98.082,5,4,-12.421
rock 'n roll,70.163,5,2,-18.626
trip hop,90.507,4,5,-9.642
instrumental rock,73.894,3,2,-11.749
bebop,167.307,4,5,-12.921
motown,113.09,4,1,-4.942
alternative dance,160.02,4,8,-9.423
chamber jazz,94.849,4,2,-10.879
dance rock,136.767,4,11,-7.465
smooth jazz,103.713,3,4,-16.71
irish folk,65.264,1,8,-13.434
ccm,129.88,4,8,-11.29
cumbia,121.764,3,0,-7.301
neo soul,117.464,4,9,-8.763
blues-rock,168.36,3,10,-6.367
pop punk,140.878,4,2,-3.237
honky tonk,100.705,4,2,-15.242
tech house,90.964,4,1,-5.973
post-grunge,140.111,4,9,-2.741
hardcore punk,101.997,4,1,-1.927
post-grunge,169.943,1,7,-6.986
hard house,140.013,4,4,-2.988
chinese music,136.749,4,2,-4.602
blues-rock,114.902,1,2,-4.556
folk-pop,116.087,4,9,-10.453
doo-wop,95.948,4,10,-16.865
heartland rock,89.042,1,2,-13.706
bossa nova,115.798,1,2,-18.054
folk,149.293,5,2,-9.451
chanson francaise,177.931,4,2,-9.366
synth punk,94.072,1,7,-9.733
zouk,147.781,4,2,-8.158
zydeco,119.663,4,5,-13.758
dirty south rap,206.791,4,1,-10.525
ccm,111.824,4,6,-9.279
rap metal,110.071,4,2,-6.378
british pop,142.432,4,7,-5.227
religious music,101.636,5,5,-24.98
post-hardcore,93.061,4,2,-5.911
southern gospel,92.555,4,7,-10.65
trip hop,78.16,1,0,-20.499
hip hop,109.265,3,2,-10.152
ccm,86.142,4,7,-12.118
blues-rock,132.598,4,2,-7.033
parody,75.669,3,8,-13.322
folk-pop,117.214,1,4,-17.9
los angeles,182.962,3,5,-7.797
lo-fi,115.954,1,0,-8.518
folk-pop,108.047,4,4,-12.346
deathrock,173.581,4,9,-10.285
dubstep,85.005,4,9,-7.494
freakbeat,114.375,1,4,-10.412
soundtrack,104.988,3,0,-19.963
charanga,91.548,5,9,-13.143
art rock,118.203,4,1,-8.209
chanson,133.64,4,7,-11.428
brazilian pop music,84.853,1,2,-18.581
jazz rap,166.092,4,0,-18.7
latin jazz,137.908,5,5,-13.006
chamber music,104.667,4,8,-22.104
opera,171.78,5,10,-20.536
free improvisation,142.158,4,0,-22.517
happy hardcore,169.771,4,10,-5.676
cantonese pop,113.571,4,0,-10.67
latin jazz,111.577,3,9,-19.64
opera,75.416,5,9,-22.384
post-grunge,139.841,4,2,-12.283
stoner metal,110.441,4,4,-6.183
tribal house,84.655,3,7,-6.99
gabba,166.648,4,8,-10.386
piano rock,134.027,4,2,-7.446
hard rock,150.715,4,7,-4.098
horror punk,149.551,1,0,-3.587
comedy,77.99,4,7,-8.366
alternative metal,93.458,1,9,-4.029
alternative metal,120.153,4,2,-3.378
hip hop,85.541,5,11,-12.908
roots reggae,122.376,4,0,-19.633
hardstyle,116.04,4,1,-3.246
chill-out,106.009,4,9,-9.559
patriotic,36.151,1,10,-25.678
glam rock,116.36,4,4,-8.662
brazilian pop music,103.172,4,9,-10.919
groove metal,116.064,4,1,-5.992
roots reggae,151.537,4,0,-6.924
arabesque,151.956,4,7,-9.13
progressive house,155.996,4,9,-9.532
irish folk,149.619,3,5,-12.577
turnablism,72.724,4,2,-26.356
gangster rap,100.032,4,0,-8.666
math-core,139.872,4,8,-8.202
glam metal,110.177,4,8,-4.618
western swing,118.472,4,7,-18.169
country gospel,90.81,3,7,-13.027
experimental rock,144.94,4,0,-5.75
heavy metal,115.254,5,7,-5.938
deep house,127.902,4,9,-7.83
oi,84.59,4,2,-3.132
ccm,125.908,4,1,-7.831
southern rock,117.263,4,1,-8.987
funeral doom,62.076,4,0,-6.364
jazz funk,109.963,4,8,-7.884
blue-eyed soul,123.474,3,5,-15.069
gangster rap,87.747,4,6,-5.16
j pop,87.76,4,4,-33.595
hip hop,107.32,3,10,-7.144
exotica,122.774,4,3,-16.325
symphony,115.508,4,1,-9.116
disco,145.607,4,8,-6.222
chamber jazz,86.39,4,7,-23.69
grunge,138.291,7,7,-12.246
ccm,107.531,4,0,-11.403
brazilian jazz,118.239,4,9,-16.21
blues-rock,77.207,1,3,-13.705
death core,129.824,3,1,-3.424
disco,81.947,4,9,-11.037
chicago soul,87.758,1,11,-18.341
delta blues,99.492,1,0,-9.675
progressive house,116.024,4,7,-9.249
uk garage,110.198,4,6,-5.485
hip hop,73.507,5,10,-13.306
zouk,130.092,4,10,-5.777
teen pop,118.055,4,0,-4.772
melodic hardcore,112.421,1,7,-4.732
quiet storm,76.385,3,2,-11.937
latin jazz,100.394,4,4,-14.117
post-grunge,119.461,4,10,-8.416
hip pop,95.619,4,5,-18.321
tango,97.342,3,10,-14.511
soundtrack,160.246,1,7,-19.852
power pop,89.091,1,1,-4.594
easy listening,102.16,4,6,-13.711
twee pop,84.009,1,10,-5.39
musette,199.483,3,10,-6.031
digital hardcore,84.562,1,2,-7.107
urban folk,81.256,4,0,-17.81
electric blues,76.415,1,3,-6.144
progressive house,106.216,3,0,-12.715
honky tonk,196.303,4,1,-13.136
gangster rap,171.85,4,10,-3.165
post-grunge,125.994,3,10,-7.589
ccm,143.898,4,7,-7.874
indie rock,253.357,4,2,-3.868
cumbia,84.283,4,7,-5.837
ccm,126.179,4,10,-4.601
early music,126.786,1,2,-20.848
noise pop,100.928,4,5,-6.111
blues-rock,79.905,1,4,-9.384
cool jazz,86.961,4,5,-16.151
turnablism,137.963,4,7,-6.497
post-grunge,103.218,4,9,-5.88
folk rock,160.105,1,2,-12.174
soft rock,130.042,4,0,-10.084
power pop,90.875,4,7,-8.812
dirty south rap,66.565,4,2,-17.014
folk rock,121.955,4,7,-4.638
roots reggae,135.537,4,6,-7.454
latin jazz,132.558,4,0,-7.437
progressive house,124.255,4,7,-14.175
ccm,101.004,4,1,-6.949
trip hop,125.363,4,0,-11.685
indie rock,187.66,4,7,-11.319
easy listening,139.949,4,2,-8.452
latin pop,109.996,4,0,-7.918
country blues,104.237,4,11,-18.466
country,126.618,4,0,-8.278
new beat,126.412,4,11,-15.303
meditation,145.259,3,8,-21.036
chanson,91.584,7,3,-6.752
dancehall,96.006,4,7,-7.629
progressive trance,135.053,4,6,-10.744
country gospel,116.903,4,1,-12.493
reggae,186.285,4,9,-5.863
freakbeat,111.555,4,2,-9.6
pop rap,90.983,3,9,-9.06
blues-rock,177.563,3,2,-5.376
happy hardcore,123.976,4,4,-6.485
hip hop,60.017,1,1,-5.625
doo-wop,71.597,4,10,-11.539
roots reggae,135.033,1,11,-13.615
grunge,114.758,5,3,-9.66
reggae,163.748,7,4,-5.914
electronic,122.934,4,0,-6.637
flamenco,118.056,4,7,-5.057
ranchera,109.518,4,9,-10.601
bossa nova,93.041,4,5,-5.536
western swing,142.479,4,9,-16.261
death metal,141.746,5,7,-5.532
sludge metal,115.007,1,7,-14.682
heavy metal,150.3,4,1,-9.244
power pop,119.965,4,5,-9.147
doom metal,78.601,5,4,-7.803
noise rock,108.251,1,9,-6.367
kraut rock,148.748,4,3,-16.397
blues-rock,80.455,4,4,-10.561
happy hardcore,140.08,4,2,-5.001
rap metal,163.007,5,11,-7.35
electroclash,144.478,1,5,-24.877
tech house,108.069,3,6,-12.643
western swing,80.016,7,8,-18.891
industrial rock,160.184,4,5,-7.249
ccm,118.155,4,4,-9.535
country blues,116.318,1,0,-14.554
comedy,102.402,3,7,-14.701
blues-rock,166.411,4,7,-8.392
stand-up comedy,121.075,5,1,-10.825
hard trance,95.298,3,5,-5.317
reggae,168.02,4,2,-3.426
country blues,132.59,1,5,-24.321
chinese music,150.933,3,10,-21.585
latin jazz,111.034,4,2,-13.005
ballad,124.008,4,0,-6.213
psychobilly,120.848,3,9,-8.017
dance-punk,140.143,4,2,-6.299
rock,134.293,4,1,-3.38
chinese music,48.942,3,6,-30.978
country blues,87.899,4,10,-14.243
dancehall,126.631,4,6,-7.414
instrumental rock,185.559,4,0,-11.19
deep house,179.987,4,10,-10.87
alternative metal,161.874,1,2,-2.445
pop rock,83.95,4,0,-17.712
hip hop,50.059,4,0,-22.214
brill building pop,133.312,1,0,-11.693
lovers rock,88.015,1,11,-12.198
soul jazz,92.927,3,7,-19.933
irish folk,210.957,4,7,-6.984
roots reggae,137.714,1,11,-14.835
alternative metal,140.112,4,11,-4.002
ccm,137.158,4,1,-6.02
orchestra,83.255,5,2,-19.583
lovers rock,97.284,1,8,-9.974
world beat,137.942,4,2,-6.144
easy listening,125.361,1,2,-19.052
early music,68.388,4,5,-22.737
marimba,147.597,1,10,-10.033
blues,130.453,1,9,-11.425
trip hop,125.663,1,0,-7.807
dancehall,162.155,4,9,-13.533
meditation,243.195,4,1,-23.366
heavy metal,87.097,5,2,-9.314
humppa,109.293,1,2,-12.246
honky tonk,84.069,4,2,-8.592
experimental pop,88.648,3,0,-12.373
guitar,117.298,4,4,-14.881
pop rock,91.249,4,10,-32.637
jungle music,149.853,3,7,-10.22
teen pop,122.988,4,6,-5.98
heavy metal,107.886,4,5,-9.657
free jazz,244.366,4,10,-12.785
blues-rock,107.053,4,9,-3.879
glam metal,139.947,3,6,-13.434
bass music,160.129,4,6,-9.868
progressive house,121.101,4,4,-5.439
easy listening,131.118,1,8,-17.382
dark wave,177.866,1,8,-12.625
post-grunge,171.648,4,9,-11.622
ska,0.0,4,0,-15.909
folk,147.734,1,4,-6.22
dark wave,126.955,4,1,-10.203
chicago soul,116.122,4,7,-7.293
ccm,88.012,4,7,-9.475
southern rock,181.355,4,9,-8.626
hip hop,107.905,4,5,-16.205
male vocalist,84.631,5,1,-8.704
hip pop,90.987,3,7,-30.381
progressive house,86.675,3,10,-11.128
rock 'n roll,148.856,4,2,-9.217
jazz fusion,158.578,4,2,-27.885
hip hop,107.199,4,6,-5.939
heavy metal,115.418,4,10,-3.053
big band,118.096,4,3,-11.897
blue-eyed soul,103.225,4,3,-8.602
dubstep,139.959,4,2,-9.989
hip hop,85.652,1,4,-12.054
roots rock,165.224,3,4,-3.926
ccm,59.17,1,5,-14.587
motown,111.132,4,10,-6.779
cumbia,109.305,5,9,-14.886
hip hop,51.714,4,4,-6.79
ccm,144.022,4,1,-5.174
jungle music,105.085,4,2,-15.006
flamenco,128.502,3,4,-8.361
stoner rock,120.07,4,10,-4.456
salsa,208.737,3,7,-10.501
rock,196.106,4,11,-5.821
tejano,199.826,4,2,-9.433
vocal house,126.785,4,9,-11.123
cantonese pop,162.987,4,7,-5.732
folk,150.028,3,11,-17.746
bluegrass,103.694,4,6,-14.665
pop rock,97.882,4,5,-6.951
comedy,83.99,3,4,-11.926
heavy metal,110.133,1,2,-5.065
disco,137.924,4,4,-6.743
ccm,103.584,7,7,-15.636
reggaeton,125.348,3,7,-6.088
blues-rock,140.945,1,4,-15.016
heavy metal,126.105,4,4,-3.764
salsa,134.923,4,7,-8.742
progressive house,84.032,1,9,-7.329
greek,100.005,4,7,-19.897
salsa,62.78,5,9,-3.638
breakcore,114.037,4,11,-5.054
hip hop,96.686,4,1,-6.905
southern gospel,40.27,1,3,-18.34
soundtrack,99.987,4,7,-25.368
piano blues,115.38,3,5,-23.893
opera,89.978,4,10,-14.767
downtempo,91.007,4,1,-11.783
country rock,101.335,4,6,-14.712
samba,104.709,4,10,-12.665
reggae,121.407,5,1,-6.634
latin jazz,72.071,1,3,-24.57
california,83.883,1,5,-15.336
hip hop,110.57,3,2,-6.426
dream pop,160.051,4,2,-4.993
soft rock,105.157,3,0,-7.016
blues-rock,159.415,1,0,-12.569
singer-songwriter,155.926,4,4,-6.156
bluegrass,104.79,4,11,-11.68
stand-up comedy,76.125,1,6,-21.685
cantonese pop,135.064,4,2,-10.432
chill-out,66.691,5,0,-17.045
country rock,192.027,4,9,-3.082
blues-rock,161.529,1,9,-13.839
ccm,124.332,4,0,-7.181
blues-rock,86.475,3,7,-15.493
brill building pop,208.338,4,4,-12.652
reggae,115.75,4,5,-9.969
roots rock,121.666,4,4,-7.093
grindcore,122.678,3,10,-9.329
blues-rock,116.806,1,2,-15.202
stoner rock,166.025,4,9,-4.776
soukous,135.458,4,7,-12.398
jazz blues,53.672,3,10,-12.546
western swing,86.197,4,0,-15.987
vallenato,156.002,4,10,-5.047
jazz funk,105.509,4,10,-13.331
blues-rock,142.782,3,1,-15.912
breakcore,127.355,4,1,-7.769
nu jazz,139.167,4,3,-8.441
death core,92.439,4,6,-5.033
dubstep,173.985,4,7,-5.068
modern rock,146.879,4,0,-5.621
dancehall,140.281,1,10,-12.955
gabba,74.551,1,9,-16.459
gangster rap,159.499,4,1,-3.775
ballad,90.098,4,2,-17.962
chanson,100.312,3,2,-14.658
funk rock,90.267,4,0,-4.774
roots reggae,85.714,4,4,-10.901
jungle music,87.618,4,1,-2.904
dancehall,97.289,4,3,-5.688
alternative dance,145.032,4,11,-6.424
bhangra,96.043,4,6,-12.686
salsa,103.548,4,2,-6.453
country rock,121.795,4,7,-7.225
stand-up comedy,106.41,1,6,-4.429
chicago soul,141.992,3,6,-8.681
future jazz,79.098,4,1,-9.225
rock,158.404,3,7,-8.537
latin jazz,106.658,4,10,-12.928
country gospel,136.208,4,4,-14.807
bachata,88.578,5,10,-6.845
easy listening,111.549,4,2,-20.578
blues-rock,91.289,4,9,-14.135
italian disco,135.826,4,10,-9.233
classic country,65.573,5,6,-16.866
brill building pop,125.037,4,11,-10.249
brazilian jazz,113.515,4,0,-22.659
tango,92.236,4,10,-5.995
europop,88.915,4,7,-10.499
merseybeat,112.361,3,6,-47.664
smooth jazz,93.001,4,4,-8.723
salsa,165.346,4,3,-6.071
rock 'n roll,130.335,1,5,-6.56
downtempo,118.058,4,9,-8.732
progressive house,127.574,1,1,-7.625
smooth jazz,178.63,4,6,-24.953
uk garage,128.006,4,6,-7.475
dubstep,145.521,4,6,-7.992
gangster rap,99.095,4,5,-5.815
latin jazz,77.788,4,9,-10.509
ballad,120.92,1,4,-12.892
gangster rap,87.102,4,6,-6.353
patriotic,120.317,4,10,-16.657
ccm,139.224,4,0,-12.515
comedy,79.952,5,8,-16.007
free improvisation,82.581,1,8,-25.395
lovers rock,140.595,4,0,-5.384
ccm,108.584,4,7,-8.691
jungle music,120.059,3,9,-13.459
cumbia,84.81,4,2,-9.437
latin jazz,116.034,4,5,-6.803
easy listening,118.617,3,10,-13.567
trip hop,100.013,4,7,-13.207
ska punk,126.274,4,0,-7.554
folk-pop,149.9,3,4,-23.964
ballad,134.56,1,0,-11.467
roots reggae,85.731,1,5,-6.304
alternative metal,161.909,4,11,-5.535
easy listening,61.409,1,7,-19.995
dancehall,149.827,4,7,-5.641
disco,145.635,1,2,-11.367
blues,88.746,1,7,-10.981
bluegrass,227.48,4,5,-20.335
alternative metal,128.961,3,2,-10.012
power pop,107.892,4,0,-8.873
southern gospel,129.034,3,7,-13.795
bluegrass,170.079,1,0,-7.659
happy hardcore,105.004,4,5,-4.373
rap metal,103.129,4,3,-4.78
stand-up comedy,145.562,7,10,-4.314
country rock,113.86,4,2,-10.415
dance rock,121.842,4,11,-11.085
funk,94.819,4,1,-2.664
freakbeat,95.051,3,5,-11.814
hip hop,173.423,4,6,-11.498
meditation,45.43,4,0,-12.778
alternative metal,179.406,4,1,-5.765
blues-rock,127.122,4,5,-3.432
sympho black metal,127.817,4,3,-3.832
hip house,89.335,3,1,-6.612
tejano,198.118,1,10,-13.718
neo soul,182.705,4,7,-10.372
cumbia,121.834,4,7,-9.341
rock,64.259,1,9,-16.673
straight edge,142.253,4,6,-5.766
zydeco,130.545,4,5,-6.079
female vocalist,88.942,4,9,-9.018
chicago blues,172.9,5,5,-10.985
rap metal,210.691,4,9,-6.738
blues-rock,114.083,4,1,-8.665
pop rock,137.959,1,7,-14.945
freestyle,107.944,4,6,-7.311
soul jazz,135.525,4,5,-6.692
electronica,136.897,3,10,-6.21
easy listening,121.078,4,7,-13.298
breakbeat,107.303,4,2,-8.101
blues-rock,148.142,4,6,-9.951
post-grunge,103.046,4,8,-9.781
irish folk,61.82,1,2,-10.638
alternative metal,98.784,4,2,-4.793
delta blues,107.081,4,6,-14.873
hip hop,97.143,4,8,-3.848
ghetto tech,124.969,4,11,-7.085
blues-rock,138.43,1,2,-7.204
breakcore,175.127,5,7,-24.2
rap rock,88.57,4,0,-5.278
post-grunge,77.885,4,9,-10.133
pop folk,160.001,4,0,-7.788
latin jazz,113.552,7,0,-12.039
orchestra,107.93,4,8,-14.579
freestyle,111.506,3,7,-14.953
j pop,135.778,4,1,-6.916
chanson,160.066,4,11,-12.215
los angeles,89.311,5,1,-5.17
jazz funk,122.691,4,9,-10.216
jump blues,67.176,1,1,-10.03
flamenco,143.855,4,1,-3.628
roots reggae,92.643,4,11,-7.261
texas blues,164.641,1,5,-16.111
post-grunge,86.844,4,11,-6.036
rock 'n roll,124.989,4,4,-6.116
blue-eyed soul,93.156,4,2,-4.925
bluegrass,109.696,4,4,-9.063
cool jazz,77.635,5,5,-21.498
trip hop,98.998,4,5,-12.88
blues-rock,110.98,3,4,-14.977
cantonese pop,110.007,4,4,-9.801
jazz funk,141.868,4,0,-9.22
rapcore,93.03,4,2,-5.572
dirty rap,181.208,4,9,-4.224
hip hop,95.098,4,6,-11.38
roots reggae,132.088,4,6,-8.173
texas blues,87.485,3,3,-10.733
trip hop,42.782,1,1,-17.549
irish,84.871,3,0,-11.924
pop rock,140.186,4,9,-5.585
jug band,95.227,4,2,-16.521
dark wave,136.89,4,11,-7.105
chill-out,119.727,4,3,-12.237
heavy metal,170.773,4,6,-8.112
irish folk,114.093,4,9,-14.375
gospel,208.51,4,1,-6.094
chicago blues,94.1,3,2,-14.476
chanson,83.116,4,2,-12.838
jazz funk,113.204,4,4,-28.107
hip hop,90.199,4,1,-7.275
reggae,101.121,1,11,-9.715
ghetto tech,84.672,4,6,-9.432
uk garage,180.005,5,6,-6.016
world,36.773,4,7,-15.413
latin jazz,126.029,1,0,-15.71
british pop,78.245,4,6,-10.942
ccm,162.995,4,7,-6.429
jazz rap,102.829,4,2,-10.086
southern rock,127.006,4,11,-6.205
british invasion,121.884,4,4,-17.15
rockabilly,72.91,4,2,-4.316
folk rock,86.96,3,3,-10.672
progressive trance,138.001,4,9,-10.329
ccm,180.874,4,9,-12.504
gospel,97.022,4,9,-8.299
world beat,120.349,3,9,-12.383
heavy metal,184.012,4,1,-6.635
power pop,127.811,4,8,-5.013
post-grunge,129.333,4,2,-5.192
sympho black metal,115.37,4,1,-7.57
blues-rock,91.084,4,2,-6.398
flamenco,152.857,4,5,-8.707
gospel,81.647,4,10,-14.886
classic country,88.314,7,0,-13.683
jazz funk,113.52,4,10,-13.362
southern gospel,156.139,4,9,-8.17
gangster rap,84.973,4,7,-10.069
cantonese pop,90.139,5,6,-3.616
blues-rock,98.087,5,2,-13.637
crunk,153.998,4,11,-5.497
dubstep,169.722,4,1,-5.2
jazz funk,159.621,4,7,-7.992
roots reggae,154.585,4,11,-5.627
progressive house,84.676,5,6,-10.047
calypso,100.72,4,4,-10.814
glam rock,168.165,1,4,-11.314
dance-punk,186.141,4,7,-3.853
northern soul,86.949,4,4,-13.135
space age pop,64.79,1,1,-22.729
southern rock,125.875,1,7,-6.538
gangster rap,174.762,4,10,-14.922
deep house,126.488,4,9,-15.673
blues-rock,116.137,4,4,-9.1
experimental rock,100.353,3,11,-22.115
chinese music,235.903,7,0,-8.951
power pop,235.405,4,4,-5.24
easy listening,122.887,3,5,-24.705
comedy,104.618,3,6,-13.467
salsa,126.291,7,1,-6.648
dirty south rap,159.252,4,5,-9.285
bulerias,159.026,4,9,-17.172
requiem,86.55,3,4,-20.865
roots reggae,92.969,4,2,-6.29
chinese music,131.889,4,6,-9.592
gospel,162.987,4,8,-11.907
post-grunge,151.844,4,1,-4.017
southern rock,109.659,4,1,-7.425
zydeco,124.577,4,6,-7.822
honky tonk,100.893,1,0,-11.943
space age pop,116.596,5,3,-10.937
roots reggae,166.749,4,6,-10.742
alternative metal,104.939,3,8,-3.902
bhangra,202.036,4,0,-7.071
comedy,96.052,4,6,-10.239
electro,91.997,1,8,-5.533
chanson,148.633,1,10,-8.789
country blues,97.754,1,10,-15.963
latin jazz,156.029,4,2,-3.892
tech house,130.007,4,1,-13.015
chanson,61.994,5,9,-10.635
hard rock,110.487,4,0,-8.932
male vocalist,159.036,4,2,-8.579
hip hop,174.293,3,11,-4.316
post-grunge,191.436,1,7,-5.95
motown,110.28,4,1,-7.98
gangster rap,178.934,4,10,-6.644
ccm,107.779,3,11,-12.16
bass music,100.013,1,1,-3.786
funk metal,107.922,4,9,-8.744
delta blues,183.882,3,5,-10.22
opera,77.235,3,10,-18.149
dancehall,131.868,5,5,-6.382
instrumental rock,158.121,3,5,-11.922
modern rock,240.263,4,10,-6.566
ballad,128.835,4,7,-22.073
opera,114.407,5,7,-21.08
free jazz,104.231,3,7,-12.518
blues-rock,163.087,4,0,-6.83
world beat,120.024,3,2,-10.29
tejano,168.144,3,0,-5.202
singer-songwriter,131.84,4,2,-19.514
pop rock,133.45,4,6,-6.55
blues-rock,133.582,4,0,-9.926
progressive house,135.037,4,9,-3.139
electronic,132.026,4,3,-8.801
charanga,97.667,1,9,-9.062
happy hardcore,87.406,4,10,-7.477
reggae,141.729,4,7,-6.108
progressive house,146.389,5,0,-20.607
easy listening,71.228,1,10,-16.333
celtic rock,146.053,4,7,-6.454
neofolk,149.971,4,5,-12.685
cantonese pop,126.934,4,5,-5.983
blues,85.56,3,2,-10.516
southern soul,122.152,4,4,-6.953
trance,119.534,3,10,-15.857
texas blues,122.546,4,8,-14.373
grunge,85.82,3,2,-9.429
classic female blues,103.054,1,11,-14.853
blues-rock,107.083,4,9,-6.623
blues,118.136,1,9,-7.597
pop folk,129.972,3,5,-11.947
vocal jazz,63.134,5,10,-17.462
nu-soul,131.98,4,7,-5.228
hardcore punk,82.69,4,6,-3.731
emo,145.147,4,10,-6.214
country gospel,124.916,4,4,-9.089
grindcore,108.252,7,7,-1.545
country gospel,91.739,5,9,-8.961
charanga,131.568,1,6,-16.394
hip hop,89.026,4,1,-11.302
rock,153.768,4,7,-9.29
rock steady,117.157,4,2,-14.3
industrial metal,86.624,3,9,-6.787
post-hardcore,77.581,4,0,-10.499
trip hop,78.971,4,10,-5.095
europop,139.98,4,5,-13.691
dance pop,127.932,3,4,-6.635
hard trance,129.977,4,0,-6.562
blues-rock,130.173,4,4,-6.736
dancehall,79.916,3,4,-8.148
progressive house,162.134,4,1,-7.921
ballad,128.968,4,0,-4.222
religious music,89.941,4,7,-10.44
blues-rock,97.672,4,0,-7.349
doo-wop,111.422,4,7,-12.632
dancehall,99.894,3,0,-11.368
digital hardcore,104.928,4,7,-4.063
alternative rock,204.066,4,7,-6.914
latin jazz,127.99,4,1,-8.232
progressive house,76.57,3,3,-18.516
lovers rock,147.659,3,3,-6.68
post-hardcore,163.975,4,7,-7.387
symphonic metal,77.364,1,7,-15.442
pop folk,145.924,4,0,-4.978
flamenco,115.021,4,6,-6.195
sxsw 2007,85.118,5,2,-16.489
rock 'n roll,115.745,1,0,-14.946
roots reggae,165.67,4,5,-7.284
teen pop,103.997,4,10,-2.801
kraut rock,107.711,4,9,-8.166
marimba,111.743,4,0,-17.325
power metal,175.007,4,4,-4.283
chanson,128.549,4,6,-8.648
chorus,120.129,3,7,-7.092
western swing,118.064,3,0,-23.461
power pop,195.026,5,8,-6.674
japanese,89.98,3,0,-12.27
progressive house,130.07,4,1,-11.516
rock,190.102,4,8,-4.675
hardcore punk,235.337,1,7,-7.499
alternative metal,155.173,4,0,-6.533
hip hop,183.437,4,6,-6.211
chill-out,134.254,4,7,-19.449
zouk,134.086,4,9,-8.294
heavy metal,141.846,4,9,-6.898
cumbia,107.592,4,7,-16.111
hip hop,131.955,4,5,-7.038
piano blues,108.105,3,7,-14.165
cabaret,117.367,4,4,-14.023
new wave,180.203,4,7,-3.697
gangster rap,114.752,4,0,-6.945
instrumental rock,119.953,3,0,-5.956
electropop,137.936,4,0,-2.019
gangster rap,121.708,1,7,-8.451
dance pop,153.731,4,5,-11.918
irish folk,94.804,4,0,-20.975
gangster rap,106.756,5,1,-6.888
pop rock,83.73,4,0,-9.38
folktronica,46.867,1,2,-19.775
chanson,123.294,4,8,-5.772
ccm,119.437,4,9,-13.474
neo soul,122.91,4,0,-9.158
rap rock,106.575,4,8,-4.144
funk metal,79.252,4,7,-6.155
groove metal,198.016,4,0,-5.663
southern rock,122.624,4,6,-5.544
blues-rock,126.42,4,2,-6.626
salsa,188.502,1,2,-3.087
chanson,79.003,4,7,-18.803
southern gospel,117.437,4,2,-10.447
country blues,130.889,4,2,-15.163
illbient,141.621,4,8,-13.213
brill building pop,81.895,5,1,-7.54
smooth jazz,102.04,4,8,-7.114
pop rap,130.286,4,11,-9.317
instrumental rock,140.629,4,0,-13.959
folk,106.083,3,10,-8.593
soundtrack,121.28,4,8,-28.231
latin jazz,179.161,1,0,-9.349
hip hop,96.054,4,11,-5.688
instrumental rock,197.443,4,0,-5.943
heartland rock,140.654,1,2,-12.253
chill-out,160.048,4,9,-16.062
soundtrack,151.444,5,7,-20.958
sxsw 2007,111.537,1,0,-12.0
soft rock,168.861,5,1,-16.137
country rock,98.015,4,9,-13.404
pop rap,155.979,4,10,-4.754
dance pop,131.761,4,3,-9.635
pop,117.844,4,4,-6.728
dancehall,85.994,4,7,-6.735
progressive rock,119.712,4,4,-17.629
breakcore,89.992,4,1,-16.156
comedy,114.597,7,2,-10.377
freestyle,125.898,3,0,-13.556
chicago soul,104.01,4,10,-10.401
latin jazz,137.823,5,8,-14.181
doo-wop,113.431,4,4,-9.059
doo-wop,140.903,1,0,-12.682
downtempo,170.034,4,8,-11.613
ragtime,99.959,4,2,-16.678
salsa,104.284,5,2,-16.275
swamp pop,152.294,1,10,-21.418
ranchera,130.818,1,7,-10.19
jazz fusion,131.292,4,3,-13.61
power metal,105.05,1,11,-5.827
death metal,110.018,4,11,-4.367
parody,175.948,4,1,-3.542
dance pop,120.45,5,2,-19.99
cantonese pop,136.887,4,9,-9.77
progressive house,127.923,1,7,-8.648
grunge,123.087,1,7,-3.846
soukous,132.27,4,0,-12.831
glitch,95.576,4,1,-15.775
new beat,127.979,4,1,-6.023
gospel,89.726,3,7,-14.668
death metal,111.127,3,0,-14.481
gypsy jazz,122.093,4,6,-7.828
roots reggae,153.052,4,6,-6.092
blues,79.151,4,7,-15.608
reggae,127.765,4,2,-7.236
ccm,101.905,4,4,-2.224
new wave,181.421,4,9,-11.058
easy listening,170.899,7,0,-25.895
folk rock,147.736,3,10,-9.785
ccm,113.636,3,0,-9.915
chanson,101.897,5,0,-14.863
teen pop,86.693,3,11,-5.47
chant,140.834,4,8,-8.913
kraut rock,144.84,5,7,-11.017
miami bass,99.612,4,6,-11.255
soundtrack,130.908,4,5,-28.19
chanson,96.082,5,4,-15.615
smooth jazz,116.949,1,4,-23.966
blue-eyed soul,119.389,4,11,-17.664
post rock,128.006,4,1,-8.511
pop rock,139.562,1,7,-5.059
smooth jazz,106.01,4,9,-6.769
dance pop,141.008,4,7,-6.62
rap metal,80.375,3,2,-4.347
hard house,133.015,4,7,-9.3
alternative,135.066,4,10,-9.663
chanson,100.317,4,0,-14.946
